../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1/
Normalize the input for the first 128 dim with total 167 dim
# Training model ----------------
# Train epoch 0 ----------------
Batch 5000: loss 0.000279, reg: 5.01e-07
Batch 5100: loss 0.000278, reg: 5e-07
Batch 5200: loss 0.000279, reg: 4.98e-07
Batch 5300: loss 0.00028, reg: 4.97e-07
Batch 5400: loss 0.000278, reg: 4.96e-07
Batch 5500: loss 0.000277, reg: 4.95e-07
Batch 5600: loss 0.000276, reg: 4.94e-07
Batch 5700: loss 0.000277, reg: 4.93e-07
Batch 5800: loss 0.000278, reg: 4.91e-07
Batch 5900: loss 0.000279, reg: 4.9e-07
Batch 6000: loss 0.000278, reg: 4.89e-07
Batch 6100: loss 0.000278, reg: 4.88e-07
Batch 6200: loss 0.000277, reg: 4.87e-07
Batch 6300: loss 0.000279, reg: 4.85e-07
Batch 6400: loss 0.00028, reg: 4.84e-07
Batch 6500: loss 0.00028, reg: 4.83e-07
Batch 6600: loss 0.00028, reg: 4.82e-07
Batch 6700: loss 0.00028, reg: 4.8e-07
Batch 6800: loss 0.000279, reg: 4.79e-07
Batch 6900: loss 0.000279, reg: 4.78e-07
Batch 7000: loss 0.00028, reg: 4.77e-07
Batch 7100: loss 0.000281, reg: 4.75e-07
Batch 7200: loss 0.000281, reg: 4.74e-07
Batch 7300: loss 0.000283, reg: 4.73e-07
Batch 7400: loss 0.000284, reg: 4.72e-07
Batch 7500: loss 0.000284, reg: 4.7e-07
Batch 7600: loss 0.000285, reg: 4.69e-07
Batch 7700: loss 0.000286, reg: 4.68e-07
Batch 7800: loss 0.000287, reg: 4.67e-07
Batch 7900: loss 0.000287, reg: 4.65e-07
Batch 8000: loss 0.000286, reg: 4.64e-07
Batch 8100: loss 0.000286, reg: 4.63e-07
Batch 8200: loss 0.000286, reg: 4.61e-07
Batch 8300: loss 0.000288, reg: 4.6e-07
Batch 8400: loss 0.000288, reg: 4.59e-07
Batch 8500: loss 0.000288, reg: 4.58e-07
Batch 8600: loss 0.000288, reg: 4.57e-07
Batch 8700: loss 0.000287, reg: 4.55e-07
Batch 8800: loss 0.000287, reg: 4.54e-07
Batch 8900: loss 0.000286, reg: 4.53e-07
Batch 9000: loss 0.000286, reg: 4.52e-07
Batch 9100: loss 0.000285, reg: 4.51e-07
Batch 9200: loss 0.000287, reg: 4.5e-07
Batch 9300: loss 0.000291, reg: 4.48e-07
Batch 9400: loss 0.000291, reg: 4.47e-07
Batch 9500: loss 0.000292, reg: 4.46e-07
Batch 9600: loss 0.000292, reg: 4.45e-07
Batch 9700: loss 0.000291, reg: 4.44e-07
Batch 9800: loss 0.000291, reg: 4.43e-07
Batch 9900: loss 0.00029, reg: 4.42e-07
Batch 10000: loss 0.00029, reg: 4.41e-07
