num_hours_pred,add_missing,identifier,num_hidden,num_layers,l2_penalty,pos_cls_ratio,n_mc_smps,,,,test_loss,test_reg_loss,test_acc,test_true_positive,test_auroc,test_aupr,best_model_idx,num_epochs_run
6,True,0512-rnn_baseline-mimic-nh8-nl3-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,8,3,0.0001,1,20,,,,0.0048014885,2.57351752674148E-05,0.6192787795,0,0.6196186388,0.5166575628,6,10
6,True,0512-rnn_baseline-mimic-nh32-nl1-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,32,1,1E-05,1,20,,,,0.0042061256,3.66714103896579E-05,0.6699029126,0.3561020036,0.6449397969,0.5635310735,7,11
6,True,0513-rnn_invert_missing-mimic-nh16-nl1-c1e-04-keeprate0.7_0.5_0.5-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,1,0.0001,1,20,0.7,0.5,0.5,0.004099048,3.90847416687628E-05,0.6536061026,0.3734061931,0.6349445291,0.5605776789,5,9
6,True,0512-rnn_baseline-mimic-nh64-nl3-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,64,3,0.001,1,20,,,,0.0044830392,3.31304833711475E-05,0.6192787795,0,0.6080206402,0.5080105645,10,14
6,True,0512-rnn_baseline-mimic-nh8-nl2-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,8,2,0.0001,1,20,,,,0.0043860801,5.7819E-05,0.6192787795,0,0.6209824643,0.5275574162,2,6
6,True,0512-rnn_baseline-mimic-nh128-nl3-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,128,3,0.0001,1,20,,,,0.0044232079,0.000565722,0.6192787795,0,0.5814320346,0.4983264229,2,6
6,True,0512-rnn_baseline-mimic-nh32-nl2-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,32,2,0.0001,1,20,,,,0.0045312309,4.53348276069731E-05,0.6303744799,0.0428051002,0.6173310631,0.5318585206,11,15
6,True,0512-rnn_baseline-mimic-nh16-nl1-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,1,0.001,1,20,,,,0.0048026386,4.76118475237497E-05,0.620665742,0.0036429872,0.6334652029,0.5431435002,3,7
6,True,0512-rnn_baseline-mimic-nh16-nl1-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,1,1E-05,1,20,,,,0.0045944357,2.16332859238261E-05,0.6542995839,0.1511839709,0.6439104898,0.5605602404,4,8
6,True,0512-rnn_baseline-mimic-nh16-nl3-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,3,0.0001,1,20,,,,0.0046533627,3.4385706148215E-05,0.6192787795,0,0.6220681194,0.5434104531,13,17
