loss,reg_loss,total_num,spearman_corr,r_square,pea,identifier,model_type,lr,keep_prob,reg_constant,num_hidden_units,num_hidden_layers,normalized_state,num_shared_layers,num_sep_layers,all_identifier
7586.302109188698,0.0,272575,-0.06866444217053137,-22995179.940941565,-0.056366246193647385,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,0.7,0.0,256,4,1,2,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu256-lr0.01-reg0.0-kp0.7-n1
0.0003272887621079442,1.8832612340702326e-06,272575,0.09956273281253718,0.007940343942980821,0.10809981822967529,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.5,0.0001,128,3,1,1,1,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl3-hu128-lr0.0001-reg0.0001-kp0.5-n1
0.00032993290651714386,1.3769843043576202e-09,272575,nan,-7.445076797729655e-05,-1.1271207078777934e-08,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.9,0.01,8,4,1,2,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu8-lr0.001-reg0.01-kp0.9-n1
0.0003296746453599179,4.839204848394729e-06,272575,0.11982003126415752,0.0007083945426252791,0.17213627696037292,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.5,0.001,16,4,1,1,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu16-lr0.0001-reg0.001-kp0.5-n1
0.00032628409617486856,9.265869849173214e-09,272575,0.11220153989815067,0.010985649600645075,0.1222422644495964,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.5,1e-05,64,2,1,3,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl2-hu64-lr0.001-reg1e-05-kp0.5-n1
0.00032527410746004516,1.3195942472066235e-07,272575,0.1285410274254856,0.014047050403784178,0.17245636880397797,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.5,0.0001,16,1,1,5,1,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu16-lr0.0001-reg0.0001-kp0.5-n1
0.0003307329677026126,3.993885911768302e-06,272575,0.09543300219106408,-0.002499531350784734,0.08358671516180038,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.9,0.01,32,4,1,3,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu32-lr0.0001-reg0.01-kp0.9-n1
0.00032966785215805404,2.508593024685979e-05,272575,0.0815003936688064,0.000728999074666281,0.05003522336483002,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.9,0.001,64,3,1,3,4,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl3-hu64-lr0.0001-reg0.001-kp0.9-n1
0.00032700679813373545,2.5194037966969063e-09,272575,0.11873813518757749,0.008795027038860148,0.13905848562717438,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.9,1e-05,16,2,1,1,1,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl2-hu16-lr0.0001-reg1e-05-kp0.9-n1
0.006397668768327277,0.0,272575,0.0003445926531868028,-18.392261077143893,0.005032420624047518,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,1.0,0.0,256,1,1,3,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu256-lr0.01-reg0.0-kp1.0-n1
